Date,Region,District,Population,Densite,Maladie,Cas_confirmes,Morts,Temperature_moy,Humidite_moy,Precipitations_tota,Vent_vit_moy,Densite_moustiques,Espece_vecteur,Acces_soins
2021-01-15,Tambacounda,MAKACOULIBANTANG,889945,21.0,Paludisme,120440,962,28.17,52.34,774.34,2.51,100.0,Anopheles gambiae,0.69
2021-01-15,Tambacounda,BAKEL,889945,21.0,Dengue,3,0,28.17,52.34,774.34,2.51,0.0,Aedes aegypti,0.89
2021-01-15,Thies,POUT,2219453,332.64,Paludisme,5555,34,25.37,64.3,1193.8,3.17,2.5,Anopheles gambiae,0.84
2021-01-15,Thies,THIADIAYE,2219453,332.64,Dengue,18,0,25.37,64.3,1193.8,3.17,0.01,Aedes aegypti,0.84
2021-01-15,Ziguinchor,DIOULOULOU,676913,92.0,Paludisme,1356,12,26.48,71.2,1500.0,1.26,2.0,Anopheles gambiae,0.75
2021-01-15,Ziguinchor,BIGNONA,676913,92.0,Dengue,19,0,26.48,71.2,1500.0,1.26,0.03,Aedes aegypti,0.78
2021-02-15,Dakar,RUFISQUE,3841685,7023.23,Paludisme,3280,31,23.52,80.45,505.26,4.48,0.85,Anopheles gambiae,0.9
2021-02-15,Dakar,PIKINE,3841685,7023.23,Dengue,50,0,23.52,80.45,505.26,4.48,0.01,Aedes aegypti,0.94
2021-02-15,Diourbel,TOUBA,1868583,387.38,Paludisme,46215,217,27.6,53.08,819.94,2.99,24.73,Anopheles gambiae,0.77
2021-02-15,Diourbel,KOUPENTOUM,1868583,387.38,Dengue,486,1,27.6,53.08,819.94,2.99,0.26,Aedes aegypti,0.68
2021-02-15,Fatick,NDOFFANE,916565,133.78,Paludisme,1423,8,27.93,53.56,653.45,3.03,1.55,Anopheles gambiae,0.8
2021-02-15,Fatick,FATICK,916565,133.78,Dengue,59,0,27.93,53.56,653.45,3.03,0.06,Aedes aegypti,0.69
2021-02-15,Kaffrine,BIRKELANE,761524,67.89,Paludisme,2581,21,26.67,50.19,873.73,2.5,3.39,Anopheles gambiae,0.8
2021-02-15,Kaffrine,BIRKELANE,761524,67.89,Dengue,2,0,26.67,50.19,873.73,2.5,0.0,Aedes aegypti,0.71
2021-02-15,Kaolack,GUINGUINEO,1200460,224.2,Paludisme,12200,104,27.02,53.99,808.38,2.62,10.16,Anopheles gambiae,0.79
2021-02-15,Kaolack,NIORO DU RIP,1200460,224.2,Dengue,3,0,27.02,53.99,808.38,2.62,0.0,Aedes aegypti,0.66
2021-02-15,Kedougou,KEDOUGOU,196866,11.71,Paludisme,54801,535,27.81,57.06,1500.0,1.92,100.0,Anopheles gambiae,0.89
2021-02-15,Kedougou,SARAYA,196866,11.71,Dengue,2,0,27.81,57.06,1500.0,1.92,0.01,Aedes aegypti,0.72
2021-02-15,Kolda,VELINGARA,851478,62.0,Paludisme,120660,843,26.79,66.8,1466.33,1.93,100.0,Anopheles gambiae,0.78
2021-02-15,Kolda,VELINGARA,851478,62.0,Dengue,30,0,26.79,66.8,1466.33,1.93,0.04,Aedes aegypti,0.68
2021-02-15,Louga,COKI,1058032,42.4,Paludisme,930,4,26.44,49.88,738.98,3.42,0.88,Anopheles gambiae,0.87
2021-02-15,Louga,KEBEMER,1058032,42.4,Dengue,1,0,26.44,49.88,738.98,3.42,0.0,Aedes aegypti,0.84
2021-02-15,Matam,MATAM,731162,24.88,Paludisme,1,0,29.34,46.12,843.53,2.86,0.0,Anopheles gambiae,0.7
2021-02-15,Matam,THILOGNE,731162,24.88,Dengue,1,0,29.34,46.12,843.53,2.86,0.0,Aedes aegypti,0.85
2021-02-15,Saint-Louis,PODOR,1099518,57.12,Paludisme,468,5,26.16,56.69,0.0,3.74,0.43,Anopheles gambiae,0.63
2021-02-15,Saint-Louis,PETE,1099518,57.12,Dengue,55,0,26.16,56.69,0.0,3.74,0.05,Aedes aegypti,0.72
2021-02-15,Sedhiou,BOUNKILING,583799,79.4,Paludisme,1912,8,26.24,69.99,1009.63,1.44,3.28,Anopheles gambiae,0.85
2021-02-15,Sedhiou,GOUDOMP,583799,79.4,Dengue,46,0,26.24,69.99,1009.63,1.44,0.08,Aedes aegypti,0.62
2021-02-15,Tambacounda,MAKACOULIBANTANG,889945,21.0,Paludisme,89460,680,29.02,50.81,724.36,2.5,100.0,Anopheles gambiae,0.78
2021-02-15,Tambacounda,GOUDIRY,889945,21.0,Dengue,14,0,29.02,50.81,724.36,2.5,0.02,Aedes aegypti,0.77
2021-02-15,Thies,KHOMBOLE,2219453,332.64,Paludisme,3290,21,25.26,63.89,641.73,3.27,1.48,Anopheles gambiae,0.86
2021-02-15,Thies,KHOMBOLE,2219453,332.64,Dengue,13,0,25.26,63.89,641.73,3.27,0.01,Aedes aegypti,0.93
2021-02-15,Ziguinchor,DIOULOULOU,676913,92.0,Paludisme,5132,49,26.57,69.69,1500.0,1.22,7.58,Anopheles gambiae,0.78
2021-02-15,Ziguinchor,DIOULOULOU,676913,92.0,Dengue,22,0,26.57,69.69,1500.0,1.22,0.03,Aedes aegypti,0.72
2021-03-15,Dakar,PIKINE,3841685,7023.23,Paludisme,18437,172,24.12,82.17,781.99,4.44,4.8,Anopheles gambiae,0.81
2021-03-15,Dakar,DAKAR-NORD,3841685,7023.23,Dengue,16,0,24.12,82.17,781.99,4.44,0.0,Aedes aegypti,0.81
2021-03-15,Diourbel,TOUBA,1868583,387.38,Paludisme,38441,351,27.91,49.75,555.59,2.89,20.57,Anopheles gambiae,0.73
2021-03-15,Diourbel,TOUBA,1868583,387.38,Dengue,324,1,27.91,49.75,555.59,2.89,0.17,Aedes aegypti,0.65
2021-03-15,Fatick,NIAKHAR,916565,133.78,Paludisme,1658,9,27.91,53.99,692.7,2.93,1.81,Anopheles gambiae,0.77
2021-03-15,Fatick,GOSSASS,916565,133.78,Dengue,2,0,27.91,53.99,692.7,2.93,0.0,Aedes aegypti,0.83
2021-03-15,Kaffrine,MALEM-HODDAR,761524,67.89,Paludisme,2440,23,27.59,54.73,876.7,2.65,3.2,Anopheles gambiae,0.62
2021-03-15,Kaffrine,BIRKELANE,761524,67.89,Dengue,12,0,27.59,54.73,876.7,2.65,0.02,Aedes aegypti,0.63
2021-03-15,Kaolack,KOUNGUEUL,1200460,224.2,Paludisme,2,0,27.26,56.45,835.87,2.64,0.0,Anopheles gambiae,0.8
2021-03-15,Kaolack,KAOLACK,1200460,224.2,Dengue,3,0,27.26,56.45,835.87,2.64,0.0,Aedes aegypti,0.83
2021-03-15,Kedougou,SARAYA,196866,11.71,Paludisme,48927,223,28.32,56.34,1500.0,1.93,100.0,Anopheles gambiae,0.85
2021-03-15,Kedougou,SARAYA,196866,11.71,Dengue,3,0,28.32,56.34,1500.0,1.93,0.02,Aedes aegypti,0.75
2021-03-15,Kolda,VELINGARA,851478,62.0,Paludisme,2,0,27.24,56.31,1489.38,2.07,0.0,Anopheles gambiae,0.81
2021-03-15,Kolda,KOLDA,851478,62.0,Dengue,55,0,27.24,56.31,1489.38,2.07,0.06,Aedes aegypti,0.63
2021-03-15,Louga,DAHRA,1058032,42.4,Paludisme,2683,19,26.75,52.63,387.62,3.23,2.54,Anopheles gambiae,0.72
2021-03-15,Louga,SAKAL,1058032,42.4,Dengue,8,0,26.75,52.63,387.62,3.23,0.01,Aedes aegypti,0.86
2021-03-15,Matam,MATAM,731162,24.88,Paludisme,3641,27,28.97,42.8,814.22,2.83,4.98,Anopheles gambiae,0.69
2021-03-15,Matam,MATAM,731162,24.88,Dengue,30,0,28.97,42.8,814.22,2.83,0.04,Aedes aegypti,0.78
2021-03-15,Saint-Louis,RICHARD-TOLL,1099518,57.12,Paludisme,620,3,26.32,57.26,0.0,3.77,0.56,Anopheles gambiae,0.68
2021-03-15,Saint-Louis,PETE,1099518,57.12,Dengue,0,0,26.32,57.26,0.0,3.77,0.0,Aedes aegypti,0.74
2021-03-15,Sedhiou,BOUNKILING,583799,79.4,Paludisme,18950,179,26.97,63.63,1347.64,1.61,32.46,Anopheles gambiae,0.88
2021-03-15,Sedhiou,GOUDOMP,583799,79.4,Dengue,1,0,26.97,63.63,1347.64,1.61,0.0,Aedes aegypti,0.61
2021-03-15,Tambacounda,BAKEL,889945,21.0,Paludisme,67614,399,29.57,46.19,495.08,2.65,75.98,Anopheles gambiae,0.6
2021-03-15,Tambacounda,GOUDIRY,889945,21.0,Dengue,11,0,29.57,46.19,495.08,2.65,0.01,Aedes aegypti,0.84
2021-03-15,Thies,TIVAOUANE,2219453,332.64,Paludisme,1198,9,26.28,65.2,629.96,3.15,0.54,Anopheles gambiae,0.85
2021-03-15,Thies,TIVAOUANE,2219453,332.64,Dengue,10,0,26.28,65.2,629.96,3.15,0.0,Aedes aegypti,0.87
2021-03-15,Ziguinchor,BIGNONA,676913,92.0,Paludisme,7294,55,26.51,70.02,1271.38,1.29,10.78,Anopheles gambiae,0.66
2021-03-15,Ziguinchor,DIOULOULOU,676913,92.0,Dengue,3,0,26.51,70.02,1271.38,1.29,0.0,Aedes aegypti,0.89
2021-04-15,Dakar,DAKAR-NORD,3841685,7023.23,Paludisme,17554,108,25.54,81.46,535.91,4.44,4.57,Anopheles gambiae,0.88
2021-04-15,Dakar,DIAMNIADIO,3841685,7023.23,Dengue,54,0,25.54,81.46,535.91,4.44,0.01,Aedes aegypti,0.87
2021-04-15,Diourbel,KOUPENTOUM,1868583,387.38,Paludisme,27562,149,27.81,53.18,412.64,3.07,14.75,Anopheles gambiae,0.74
2021-04-15,Diourbel,TOUBA,1868583,387.38,Dengue,2,0,27.81,53.18,412.64,3.07,0.0,Aedes aegypti,0.65
2021-04-15,Fatick,DIOFFIOR,916565,133.78,Paludisme,703,2,27.91,51.22,1000.64,2.88,0.77,Anopheles gambiae,0.7
2021-04-15,Fatick,NIAKHAR,916565,133.78,Dengue,5,0,27.91,51.22,1000.64,2.88,0.01,Aedes aegypti,0.63
2021-04-15,Kaffrine,MALEM-HODDAR,761524,67.89,Paludisme,8198,27,27.7,49.2,777.84,2.4,10.77,Anopheles gambiae,0.74
2021-04-15,Kaffrine,KAFFRINE,761524,67.89,Dengue,8,0,27.7,49.2,777.84,2.4,0.01,Aedes aegypti,0.65
2021-04-15,Kaolack,GUINGUINEO,1200460,224.2,Paludisme,17769,119,27.23,57.04,946.81,2.59,14.8,Anopheles gambiae,0.82
2021-04-15,Kaolack,KOUNGUEUL,1200460,224.2,Dengue,2,0,27.23,57.04,946.81,2.59,0.0,Aedes aegypti,0.64
2021-04-15,Kedougou,SALEMATA,196866,11.71,Paludisme,22117,181,28.14,56.43,1500.0,1.98,100.0,Anopheles gambiae,0.77
2021-04-15,Kedougou,SALEMATA,196866,11.71,Dengue,2,0,28.14,56.43,1500.0,1.98,0.01,Aedes aegypti,0.7
2021-04-15,Kolda,MEDINA-YORO-FOULAH,851478,62.0,Paludisme,114163,811,27.88,66.92,1398.8,2.3,100.0,Anopheles gambiae,0.77
2021-04-15,Kolda,VELINGARA,851478,62.0,Dengue,1,0,27.88,66.92,1398.8,2.3,0.0,Aedes aegypti,0.87
2021-04-15,Louga,DAHRA,1058032,42.4,Paludisme,975,6,26.27,54.03,0.0,3.23,0.92,Anopheles gambiae,0.66
2021-04-15,Louga,DAROU-MOUSTY,1058032,42.4,Dengue,1,0,26.27,54.03,0.0,3.23,0.0,Aedes aegypti,0.62
2021-04-15,Matam,DAGANA,731162,24.88,Paludisme,5404,36,29.16,43.25,1183.76,2.85,7.39,Anopheles gambiae,0.68
2021-04-15,Matam,MATAM,731162,24.88,Dengue,39,0,29.16,43.25,1183.76,2.85,0.05,Aedes aegypti,0.89
2021-04-15,Saint-Louis,RICHARD-TOLL,1099518,57.12,Paludisme,1076,4,25.91,56.75,630.83,3.84,0.98,Anopheles gambiae,0.65
2021-04-15,Saint-Louis,PODOR,1099518,57.12,Dengue,55,0,25.91,56.75,630.83,3.84,0.05,Aedes aegypti,0.78
2021-04-15,Sedhiou,SEDHIOU,583799,79.4,Paludisme,11859,43,26.24,61.48,1500.0,1.86,20.31,Anopheles gambiae,0.8
2021-04-15,Sedhiou,SEDHIOU,583799,79.4,Dengue,0,0,26.24,61.48,1500.0,1.86,0.0,Aedes aegypti,0.74
2021-04-15,Tambacounda,DIANKHEMAKHAN,889945,21.0,Paludisme,101753,905,28.31,44.2,804.81,2.53,100.0,Anopheles gambiae,0.84
2021-04-15,Tambacounda,DIANKHEMAKHAN,889945,21.0,Dengue,12,0,28.31,44.2,804.81,2.53,0.01,Aedes aegypti,0.65
2021-04-15,Thies,JOAL,2219453,332.64,Paludisme,4003,35,25.83,66.84,0.0,3.39,1.8,Anopheles gambiae,0.91
2021-04-15,Thies,POUT,2219453,332.64,Dengue,12,0,25.83,66.84,0.0,3.39,0.01,Aedes aegypti,0.88
2021-04-15,Ziguinchor,BIGNONA,676913,92.0,Paludisme,1704,8,26.8,64.06,816.63,1.16,2.52,Anopheles gambiae,0.73
2021-04-15,Ziguinchor,BIGNONA,676913,92.0,Dengue,19,0,26.8,64.06,816.63,1.16,0.03,Aedes aegypti,0.7
2021-05-15,Dakar,RUFISQUE,3841685,7023.23,Paludisme,15565,63,24.73,80.04,773.43,4.65,4.05,Anopheles gambiae,0.91
2021-05-15,Dakar,RUFISQUE,3841685,7023.23,Dengue,24,0,24.73,80.04,773.43,4.65,0.01,Aedes aegypti,0.81
2021-05-15,Diourbel,TOUBA,1868583,387.38,Paludisme,44763,181,28.06,52.58,599.17,3.02,23.96,Anopheles gambiae,0.82
2021-05-15,Diourbel,BAMBEY,1868583,387.38,Dengue,41,0,28.06,52.58,599.17,3.02,0.02,Aedes aegypti,0.81
2021-05-15,Fatick,GOSSASS,916565,133.78,Paludisme,1045,6,27.21,52.98,538.81,2.86,1.14,Anopheles gambiae,0.69
2021-05-15,Fatick,SOKONE,916565,133.78,Dengue,36,0,27.21,52.98,538.81,2.86,0.04,Aedes aegypti,0.78
2021-05-15,Kaffrine,KAFFRINE,761524,67.89,Paludisme,4764,38,28.66,54.17,893.69,2.63,6.26,Anopheles gambiae,0.83
2021-05-15,Kaffrine,MALEM-HODDAR,761524,67.89,Dengue,9,0,28.66,54.17,893.69,2.63,0.01,Aedes aegypti,0.73
2021-05-15,Kaolack,NIORO DU RIP,1200460,224.2,Paludisme,37800,219,27.24,57.27,806.31,2.66,31.49,Anopheles gambiae,0.82
2021-05-15,Kaolack,NIORO DU RIP,1200460,224.2,Dengue,3,0,27.24,57.27,806.31,2.66,0.0,Aedes aegypti,0.6
2021-05-15,Kedougou,SARAYA,196866,11.71,Paludisme,3799,31,27.8,53.77,1500.0,1.93,19.3,Anopheles gambiae,0.78
2021-05-15,Kedougou,KEDOUGOU,196866,11.71,Dengue,1,0,27.8,53.77,1500.0,1.93,0.01,Aedes aegypti,0.64
2021-05-15,Kolda,VELINGARA,851478,62.0,Paludisme,182191,1353,27.01,56.95,1500.0,2.08,100.0,Anopheles gambiae,0.8
2021-05-15,Kolda,MEDINA-YORO-FOULAH,851478,62.0,Dengue,2,0,27.01,56.95,1500.0,2.08,0.0,Aedes aegypti,0.64
2021-05-15,Louga,KEUR-MOMAR-SARR,1058032,42.4,Paludisme,920,8,26.53,52.26,599.61,3.25,0.87,Anopheles gambiae,0.84
2021-05-15,Louga,DAHRA,1058032,42.4,Dengue,6,0,26.53,52.26,599.61,3.25,0.01,Aedes aegypti,0.66
2021-05-15,Matam,KANEL,731162,24.88,Paludisme,2731,18,28.88,40.91,637.77,2.86,3.74,Anopheles gambiae,0.74
2021-05-15,Matam,RANEROU,731162,24.88,Dengue,57,0,28.88,40.91,637.77,2.86,0.08,Aedes aegypti,0.65
2021-05-15,Saint-Louis,PODOR,1099518,57.12,Paludisme,1015,6,26.52,55.4,492.08,3.75,0.92,Anopheles gambiae,0.89
2021-05-15,Saint-Louis,PETE,1099518,57.12,Dengue,1,0,26.52,55.4,492.08,3.75,0.0,Aedes aegypti,0.61
2021-05-15,Sedhiou,BOUNKILING,583799,79.4,Paludisme,11014,51,26.25,66.17,1500.0,1.64,18.87,Anopheles gambiae,0.84
2021-05-15,Sedhiou,BOUNKILING,583799,79.4,Dengue,1,0,26.25,66.17,1500.0,1.64,0.0,Aedes aegypti,0.85
2021-05-15,Tambacounda,MAKACOULIBANTANG,889945,21.0,Paludisme,1,0,29.78,44.29,668.78,2.42,0.0,Anopheles gambiae,0.7
2021-05-15,Tambacounda,TAMBACOUNDA,889945,21.0,Dengue,13,0,29.78,44.29,668.78,2.42,0.01,Aedes aegypti,0.71
2021-05-15,Thies,JOAL,2219453,332.64,Paludisme,3786,26,26.13,62.97,1089.29,3.3,1.71,Anopheles gambiae,0.92
2021-05-15,Thies,MEKHE,2219453,332.64,Dengue,8,0,26.13,62.97,1089.29,3.3,0.0,Aedes aegypti,0.88
2021-05-15,Ziguinchor,THIONCK-ESSYL,676913,92.0,Paludisme,1043,4,26.67,70.41,712.75,1.2,1.54,Anopheles gambiae,0.65
2021-05-15,Ziguinchor,BIGNONA,676913,92.0,Dengue,82,0,26.67,70.41,712.75,1.2,0.12,Aedes aegypti,0.85
2021-06-15,Dakar,GUEDIAWAYE,3841685,7023.23,Paludisme,12767,103,25.37,80.5,553.14,4.43,3.32,Anopheles gambiae,0.8
2021-06-15,Dakar,MBAO,3841685,7023.23,Dengue,0,0,25.37,80.5,553.14,4.43,0.0,Aedes aegypti,0.91
2021-06-15,Diourbel,DIOURBEL,1868583,387.38,Paludisme,14372,121,27.87,46.91,1092.35,2.91,7.69,Anopheles gambiae,0.65
2021-06-15,Diourbel,BAMBEY,1868583,387.38,Dengue,278,1,27.87,46.91,1092.35,2.91,0.15,Aedes aegypti,0.63
2021-06-15,Fatick,FATICK,916565,133.78,Paludisme,1250,7,27.63,55.82,729.99,2.96,1.36,Anopheles gambiae,0.88
2021-06-15,Fatick,NDOFFANE,916565,133.78,Dengue,20,0,27.63,55.82,729.99,2.96,0.02,Aedes aegypti,0.68
2021-06-15,Kaffrine,MALEM-HODDAR,761524,67.89,Paludisme,2540,14,27.28,54.24,915.81,2.57,3.34,Anopheles gambiae,0.72
2021-06-15,Kaffrine,KAFFRINE,761524,67.89,Dengue,18,0,27.28,54.24,915.81,2.57,0.02,Aedes aegypti,0.74
2021-06-15,Kaolack,NIORO DU RIP,1200460,224.2,Paludisme,16896,140,27.39,54.79,854.89,2.77,14.07,Anopheles gambiae,0.81
2021-06-15,Kaolack,NIORO DU RIP,1200460,224.2,Dengue,3,0,27.39,54.79,854.89,2.77,0.0,Aedes aegypti,0.87
2021-06-15,Kedougou,SALEMATA,196866,11.71,Paludisme,64759,647,28.23,57.12,1500.0,1.91,100.0,Anopheles gambiae,0.77
2021-06-15,Kedougou,SALEMATA,196866,11.71,Dengue,2,0,28.23,57.12,1500.0,1.91,0.01,Aedes aegypti,0.64
2021-06-15,Kolda,KOLDA,851478,62.0,Paludisme,153464,519,26.6,65.71,1341.61,1.97,100.0,Anopheles gambiae,0.7
2021-06-15,Kolda,MEDINA-YORO-FOULAH,851478,62.0,Dengue,45,0,26.6,65.71,1341.61,1.97,0.05,Aedes aegypti,0.8
2021-06-15,Louga,DAROU-MOUSTY,1058032,42.4,Paludisme,2,0,27.26,47.95,915.61,3.23,0.0,Anopheles gambiae,0.84
2021-06-15,Louga,DAHRA,1058032,42.4,Dengue,10,0,27.26,47.95,915.61,3.23,0.01,Aedes aegypti,0.7
2021-06-15,Matam,MATAM,731162,24.88,Paludisme,5882,51,29.19,43.72,499.18,2.88,8.04,Anopheles gambiae,0.71
2021-06-15,Matam,THILOGNE,731162,24.88,Dengue,18,0,29.19,43.72,499.18,2.88,0.02,Aedes aegypti,0.61
2021-06-15,Saint-Louis,SAINT-LOUIS,1099518,57.12,Paludisme,577,4,27.69,54.8,291.85,3.59,0.52,Anopheles gambiae,0.67
2021-06-15,Saint-Louis,RICHARD-TOLL,1099518,57.12,Dengue,16,0,27.69,54.8,291.85,3.59,0.01,Aedes aegypti,0.69
2021-06-15,Sedhiou,SEDHIOU,583799,79.4,Paludisme,6017,23,26.6,71.06,864.85,1.72,10.31,Anopheles gambiae,0.88
2021-06-15,Sedhiou,BOUNKILING,583799,79.4,Dengue,0,0,26.6,71.06,864.85,1.72,0.0,Aedes aegypti,0.89
2021-06-15,Tambacounda,DIANKHEMAKHAN,889945,21.0,Paludisme,138586,639,29.17,51.15,760.92,2.52,100.0,Anopheles gambiae,0.75
2021-06-15,Tambacounda,TAMBACOUNDA,889945,21.0,Dengue,5,0,29.17,51.15,760.92,2.52,0.01,Aedes aegypti,0.72
2021-06-15,Thies,MEKHE,2219453,332.64,Paludisme,11080,74,25.79,65.64,289.43,3.41,4.99,Anopheles gambiae,0.91
2021-06-15,Thies,THIADIAYE,2219453,332.64,Dengue,9,0,25.79,65.64,289.43,3.41,0.0,Aedes aegypti,0.93
2021-06-15,Ziguinchor,OUSSOUYE,676913,92.0,Paludisme,3180,11,26.83,66.26,89.33,1.18,4.7,Anopheles gambiae,0.86
2021-06-15,Ziguinchor,ZIGUINCHOR,676913,92.0,Dengue,0,0,26.83,66.26,89.33,1.18,0.0,Aedes aegypti,0.77
2021-07-15,Dakar,GUEDIAWAYE,3841685,7023.23,Paludisme,13167,47,24.4,79.72,455.11,4.36,3.43,Anopheles gambiae,0.95
2021-07-15,Dakar,KEUR-MASSAR,3841685,7023.23,Dengue,55,0,24.4,79.72,455.11,4.36,0.01,Aedes aegypti,0.92
2021-07-15,Diourbel,KOUPENTOUM,1868583,387.38,Paludisme,25003,190,28.02,47.57,394.2,2.98,13.38,Anopheles gambiae,0.65
2021-07-15,Diourbel,MBACKE,1868583,387.38,Dengue,153,0,28.02,47.57,394.2,2.98,0.08,Aedes aegypti,0.85
2021-07-15,Fatick,NIAKHAR,916565,133.78,Paludisme,858,5,28.01,55.71,900.82,2.98,0.94,Anopheles gambiae,0.87
2021-07-15,Fatick,SOKONE,916565,133.78,Dengue,20,0,28.01,55.71,900.82,2.98,0.02,Aedes aegypti,0.85
2021-07-15,Kaffrine,MALEM-HODDAR,761524,67.89,Paludisme,3708,18,27.66,53.63,1017.46,2.36,4.87,Anopheles gambiae,0.83
2021-07-15,Kaffrine,KAFFRINE,761524,67.89,Dengue,8,0,27.66,53.63,1017.46,2.36,0.01,Aedes aegypti,0.61
2021-07-15,Kaolack,KOUNGUEUL,1200460,224.2,Paludisme,17788,75,27.43,56.07,633.4,2.55,14.82,Anopheles gambiae,0.62
2021-07-15,Kaolack,NIORO DU RIP,1200460,224.2,Dengue,3,0,27.43,56.07,633.4,2.55,0.0,Aedes aegypti,0.83
2021-07-15,Kedougou,SARAYA,196866,11.71,Paludisme,108514,617,27.94,58.15,1500.0,2.03,100.0,Anopheles gambiae,0.61
2021-07-15,Kedougou,KEDOUGOU,196866,11.71,Dengue,3,0,27.94,58.15,1500.0,2.03,0.02,Aedes aegypti,0.85
2021-07-15,Kolda,KOLDA,851478,62.0,Paludisme,72117,640,26.96,57.38,1428.27,2.26,84.7,Anopheles gambiae,0.8
2021-07-15,Kolda,KOLDA,851478,62.0,Dengue,48,0,26.96,57.38,1428.27,2.26,0.06,Aedes aegypti,0.86
2021-07-15,Louga,LOUGA,1058032,42.4,Paludisme,523,4,27.06,53.21,492.73,3.39,0.49,Anopheles gambiae,0.66
2021-07-15,Louga,SAKAL,1058032,42.4,Dengue,1,0,27.06,53.21,492.73,3.39,0.0,Aedes aegypti,0.81
2021-07-15,Matam,RANEROU,731162,24.88,Paludisme,3045,20,28.49,51.48,528.29,2.86,4.16,Anopheles gambiae,0.84
2021-07-15,Matam,DAGANA,731162,24.88,Dengue,0,0,28.49,51.48,528.29,2.86,0.0,Aedes aegypti,0.78
2021-07-15,Saint-Louis,RICHARD-TOLL,1099518,57.12,Paludisme,667,2,26.33,57.97,292.35,3.85,0.61,Anopheles gambiae,0.7
2021-07-15,Saint-Louis,PODOR,1099518,57.12,Dengue,1,0,26.33,57.97,292.35,3.85,0.0,Aedes aegypti,0.9
2021-07-15,Sedhiou,GOUDOMP,583799,79.4,Paludisme,15803,153,26.43,64.67,1199.11,1.82,27.07,Anopheles gambiae,0.61
2021-07-15,Sedhiou,GOUDOMP,583799,79.4,Dengue,43,0,26.43,64.67,1199.11,1.82,0.07,Aedes aegypti,0.67
2021-07-15,Tambacounda,BAKEL,889945,21.0,Paludisme,24456,133,30.1,47.78,863.24,2.69,27.48,Anopheles gambiae,0.85
