Date,Region,Maladie,Cas_confirmes,Temperature,Humidite,Precipitations,Zone_humide,Densite_moustiques,Espece_vecteur,Population,Densite_population,Acces_soins
2016-03-31,Sedhiou,Dengue,5,31.8,80,12.7,oui,372,Aedes,500000,35,53
2016-03-31,Sedhiou,Paludisme,13,31.8,80,12.7,oui,372,Anopheles,500000,35,53
2016-03-31,Tambacounda,Dengue,7,28.3,59,4.3,partiel,270,Aedes,800000,25,52
2016-03-31,Tambacounda,Paludisme,20,28.3,59,4.3,partiel,270,Anopheles,800000,25,52
2016-03-31,Thies,Dengue,25,30.9,71,10.6,partiel,228,Aedes,2000000,200,75
2016-03-31,Thies,Paludisme,63,30.9,71,10.6,partiel,228,Anopheles,2000000,200,75
2016-03-31,Ziguinchor,Dengue,6,29.4,72,10.3,oui,441,Aedes,600000,90,70
2016-03-31,Ziguinchor,Paludisme,19,29.4,72,10.3,oui,441,Anopheles,600000,90,70
2016-04-30,Dakar,Dengue,35,29.1,72,5.3,oui,336,Aedes,3500000,6025,85
2016-04-30,Dakar,Paludisme,90,29.1,72,5.3,oui,336,Anopheles,3500000,6025,85
2016-04-30,Diourbel,Dengue,18,29.6,69,10.3,partiel,205,Aedes,1800000,120,70
2016-04-30,Diourbel,Paludisme,58,29.6,69,10.3,partiel,205,Anopheles,1800000,120,70
2016-04-30,Fatick,Dengue,7,31.9,62,2.9,oui,423,Aedes,900000,45,65
2016-04-30,Fatick,Paludisme,32,31.9,62,2.9,oui,423,Anopheles,900000,45,65
2016-04-30,Kaffrine,Dengue,8,29.5,70,8.0,partiel,255,Aedes,700000,50,60
2016-04-30,Kaffrine,Paludisme,27,29.5,70,8.0,partiel,255,Anopheles,700000,50,60
2016-04-30,Kaolack,Dengue,10,27.8,61,3.3,oui,323,Aedes,1200000,150,68
2016-04-30,Kaolack,Paludisme,29,27.8,61,3.3,oui,323,Anopheles,1200000,150,68
2016-04-30,Kedougou,Dengue,2,36.4,40,4.3,oui,365,Aedes,200000,12,55
2016-04-30,Kedougou,Paludisme,10,36.4,40,4.3,oui,365,Anopheles,200000,12,55
2016-04-30,Kolda,Dengue,13,31.9,78,9.2,oui,348,Aedes,800000,60,58
2016-04-30,Kolda,Paludisme,39,31.9,78,9.2,oui,348,Anopheles,800000,60,58
2016-04-30,Louga,Dengue,12,29.3,72,6.4,partiel,293,Aedes,1100000,40,67
2016-04-30,Louga,Paludisme,38,29.3,72,6.4,partiel,293,Anopheles,1100000,40,67
2016-04-30,Matam,Dengue,6,29.0,58,3.0,non,283,Aedes,600000,20,50
2016-04-30,Matam,Paludisme,16,29.0,58,3.0,non,283,Anopheles,600000,20,50
2016-04-30,Saint-Louis,Dengue,12,34.1,61,6.2,partiel,295,Aedes,1000000,80,72
2016-04-30,Saint-Louis,Paludisme,31,34.1,61,6.2,partiel,295,Anopheles,1000000,80,72
2016-04-30,Sedhiou,Dengue,6,28.3,73,15.1,oui,440,Aedes,500000,35,53
2016-04-30,Sedhiou,Paludisme,13,28.3,73,15.1,oui,440,Anopheles,500000,35,53
2016-04-30,Tambacounda,Dengue,7,28.6,51,2.8,partiel,289,Aedes,800000,25,52
2016-04-30,Tambacounda,Paludisme,22,28.6,51,2.8,partiel,289,Anopheles,800000,25,52
2016-04-30,Thies,Dengue,18,31.6,62,3.1,partiel,270,Aedes,2000000,200,75
2016-04-30,Thies,Paludisme,60,31.6,62,3.1,partiel,270,Anopheles,2000000,200,75
2016-04-30,Ziguinchor,Dengue,10,26.7,80,10.6,oui,379,Aedes,600000,90,70
2016-04-30,Ziguinchor,Paludisme,32,26.7,80,10.6,oui,379,Anopheles,600000,90,70
2016-05-31,Dakar,Dengue,37,26.3,66,8.0,oui,409,Aedes,3500000,6025,85
2016-05-31,Dakar,Paludisme,89,26.3,66,8.0,oui,409,Anopheles,3500000,6025,85
2016-05-31,Diourbel,Dengue,16,26.1,67,2.7,partiel,212,Aedes,1800000,120,70
2016-05-31,Diourbel,Paludisme,60,26.1,67,2.7,partiel,212,Anopheles,1800000,120,70
2016-05-31,Fatick,Dengue,9,34.7,66,5.7,oui,459,Aedes,900000,45,65
2016-05-31,Fatick,Paludisme,24,34.7,66,5.7,oui,459,Anopheles,900000,45,65
2016-05-31,Kaffrine,Dengue,6,26.4,73,8.9,partiel,299,Aedes,700000,50,60
2016-05-31,Kaffrine,Paludisme,25,26.4,73,8.9,partiel,299,Anopheles,700000,50,60
2016-05-31,Kaolack,Dengue,13,31.7,70,7.9,oui,420,Aedes,1200000,150,68
2016-05-31,Kaolack,Paludisme,28,31.7,70,7.9,oui,420,Anopheles,1200000,150,68
2016-05-31,Kedougou,Dengue,2,37.5,58,2.8,oui,419,Aedes,200000,12,55
2016-05-31,Kedougou,Paludisme,8,37.5,58,2.8,oui,419,Anopheles,200000,12,55
2016-05-31,Kolda,Dengue,12,30.7,71,19.6,oui,478,Aedes,800000,60,58
2016-05-31,Kolda,Paludisme,33,30.7,71,19.6,oui,478,Anopheles,800000,60,58
2016-05-31,Louga,Dengue,14,32.2,62,13.8,partiel,282,Aedes,1100000,40,67
2016-05-31,Louga,Paludisme,34,32.2,62,13.8,partiel,282,Anopheles,1100000,40,67
2016-05-31,Matam,Dengue,6,37.3,57,1.2,non,203,Aedes,600000,20,50
2016-05-31,Matam,Paludisme,20,37.3,57,1.2,non,203,Anopheles,600000,20,50
2016-05-31,Saint-Louis,Dengue,11,31.3,66,14.6,partiel,284,Aedes,1000000,80,72
2016-05-31,Saint-Louis,Paludisme,28,31.3,66,14.6,partiel,284,Anopheles,1000000,80,72
2016-05-31,Sedhiou,Dengue,6,26.5,79,17.2,oui,480,Aedes,500000,35,53
2016-05-31,Sedhiou,Paludisme,18,26.5,79,17.2,oui,480,Anopheles,500000,35,53
2016-05-31,Tambacounda,Dengue,10,36.5,45,2.8,partiel,213,Aedes,800000,25,52
2016-05-31,Tambacounda,Paludisme,22,36.5,45,2.8,partiel,213,Anopheles,800000,25,52
2016-05-31,Thies,Dengue,21,31.6,65,3.5,partiel,267,Aedes,2000000,200,75
2016-05-31,Thies,Paludisme,65,31.6,65,3.5,partiel,267,Anopheles,2000000,200,75
2016-05-31,Ziguinchor,Dengue,6,30.4,76,18.1,oui,385,Aedes,600000,90,70
2016-05-31,Ziguinchor,Paludisme,28,30.4,76,18.1,oui,385,Anopheles,600000,90,70
2016-06-30,Dakar,Dengue,48,30.2,77,39.5,oui,482,Aedes,3500000,6025,85
2016-06-30,Dakar,Paludisme,141,30.2,77,39.5,oui,482,Anopheles,3500000,6025,85
2016-06-30,Diourbel,Dengue,25,32.2,78,75.7,partiel,378,Aedes,1800000,120,70
2016-06-30,Diourbel,Paludisme,91,32.2,78,75.7,partiel,378,Anopheles,1800000,120,70
2016-06-30,Fatick,Dengue,14,26.2,84,74.6,oui,521,Aedes,900000,45,65
2016-06-30,Fatick,Paludisme,36,26.2,84,74.6,oui,521,Anopheles,900000,45,65
2016-06-30,Kaffrine,Dengue,8,30.1,77,53.8,partiel,313,Aedes,700000,50,60
2016-06-30,Kaffrine,Paludisme,27,30.1,77,53.8,partiel,313,Anopheles,700000,50,60
2016-06-30,Kaolack,Dengue,16,26.5,78,94.8,oui,556,Aedes,1200000,150,68
2016-06-30,Kaolack,Paludisme,42,26.5,78,94.8,oui,556,Anopheles,1200000,150,68
2016-06-30,Kedougou,Dengue,3,27.4,66,54.2,oui,494,Aedes,200000,12,55
2016-06-30,Kedougou,Paludisme,10,27.4,66,54.2,oui,494,Anopheles,200000,12,55
2016-06-30,Kolda,Dengue,15,28.0,87,82.8,oui,608,Aedes,800000,60,58
2016-06-30,Kolda,Paludisme,56,28.0,87,82.8,oui,608,Anopheles,800000,60,58
2016-06-30,Louga,Dengue,13,25.5,78,90.3,partiel,375,Aedes,1100000,40,67
2016-06-30,Louga,Paludisme,44,25.5,78,90.3,partiel,375,Anopheles,1100000,40,67
2016-06-30,Matam,Dengue,7,30.9,67,77.0,non,375,Aedes,600000,20,50
2016-06-30,Matam,Paludisme,29,30.9,67,77.0,non,375,Anopheles,600000,20,50
2016-06-30,Saint-Louis,Dengue,13,29.1,80,55.4,partiel,345,Aedes,1000000,80,72
2016-06-30,Saint-Louis,Paludisme,38,29.1,80,55.4,partiel,345,Anopheles,1000000,80,72
2016-06-30,Sedhiou,Dengue,7,24.2,83,94.8,oui,532,Aedes,500000,35,53
2016-06-30,Sedhiou,Paludisme,22,24.2,83,94.8,oui,532,Anopheles,500000,35,53
2016-06-30,Tambacounda,Dengue,12,32.3,70,47.0,partiel,354,Aedes,800000,25,52
2016-06-30,Tambacounda,Paludisme,30,32.3,70,47.0,partiel,354,Anopheles,800000,25,52
2016-06-30,Thies,Dengue,29,27.3,79,82.3,partiel,357,Aedes,2000000,200,75
2016-06-30,Thies,Paludisme,82,27.3,79,82.3,partiel,357,Anopheles,2000000,200,75
2016-06-30,Ziguinchor,Dengue,10,24.8,82,97.2,oui,506,Aedes,600000,90,70
2016-06-30,Ziguinchor,Paludisme,35,24.8,82,97.2,oui,506,Anopheles,600000,90,70
2016-07-31,Dakar,Dengue,43,26.5,80,58.7,oui,637,Aedes,3500000,6025,85
2016-07-31,Dakar,Paludisme,179,26.5,80,58.7,oui,637,Anopheles,3500000,6025,85
2016-07-31,Diourbel,Dengue,29,31.5,78,58.5,partiel,367,Aedes,1800000,120,70
2016-07-31,Diourbel,Paludisme,74,31.5,78,58.5,partiel,367,Anopheles,1800000,120,70
2016-07-31,Fatick,Dengue,12,31.2,77,66.2,oui,548,Aedes,900000,45,65
2016-07-31,Fatick,Paludisme,34,31.2,77,66.2,oui,548,Anopheles,900000,45,65
2016-07-31,Kaffrine,Dengue,9,27.3,81,57.7,partiel,348,Aedes,700000,50,60
2016-07-31,Kaffrine,Paludisme,26,27.3,81,57.7,partiel,348,Anopheles,700000,50,60
2016-07-31,Kaolack,Dengue,16,25.5,85,66.1,oui,610,Aedes,1200000,150,68
2016-07-31,Kaolack,Paludisme,55,25.5,85,66.1,oui,610,Anopheles,1200000,150,68
2016-07-31,Kedougou,Dengue,5,29.8,68,67.9,oui,629,Aedes,200000,12,55
2016-07-31,Kedougou,Paludisme,11,29.8,68,67.9,oui,629,Anopheles,200000,12,55
2016-07-31,Kolda,Dengue,17,31.5,82,84.7,oui,599,Aedes,800000,60,58
2016-07-31,Kolda,Paludisme,45,31.5,82,84.7,oui,599,Anopheles,800000,60,58
2016-07-31,Louga,Dengue,16,26.6,77,58.2,partiel,381,Aedes,1100000,40,67
2016-07-31,Louga,Paludisme,48,26.6,77,58.2,partiel,381,Anopheles,1100000,40,67
2016-07-31,Matam,Dengue,8,29.1,76,75.1,non,338,Aedes,600000,20,50
2016-07-31,Matam,Paludisme,27,29.1,76,75.1,non,338,Anopheles,600000,20,50
2016-07-31,Saint-Louis,Dengue,16,26.9,84,69.2,partiel,354,Aedes,1000000,80,72
2016-07-31,Saint-Louis,Paludisme,41,26.9,84,69.2,partiel,354,Anopheles,1000000,80,72
2016-07-31,Sedhiou,Dengue,7,29.0,83,89.7,oui,607,Aedes,500000,35,53
2016-07-31,Sedhiou,Paludisme,25,29.0,83,89.7,oui,607,Anopheles,500000,35,53
2016-07-31,Tambacounda,Dengue,10,27.2,66,59.9,partiel,374,Aedes,800000,25,52
2016-07-31,Tambacounda,Paludisme,39,27.2,66,59.9,partiel,374,Anopheles,800000,25,52
2016-07-31,Thies,Dengue,25,27.7,83,55.5,partiel,385,Aedes,2000000,200,75
2016-07-31,Thies,Paludisme,85,27.7,83,55.5,partiel,385,Anopheles,2000000,200,75
2016-07-31,Ziguinchor,Dengue,13,25.8,87,130.4,oui,583,Aedes,600000,90,70
2016-07-31,Ziguinchor,Paludisme,32,25.8,87,130.4,oui,583,Anopheles,600000,90,70
2016-08-31,Dakar,Dengue,53,27.1,84,70.8,oui,544,Aedes,3500000,6025,85
2016-08-31,Dakar,Paludisme,135,27.1,84,70.8,oui,544,Anopheles,3500000,6025,85
2016-08-31,Diourbel,Dengue,29,29.0,81,50.9,partiel,387,Aedes,1800000,120,70
2016-08-31,Diourbel,Paludisme,87,29.0,81,50.9,partiel,387,Anopheles,1800000,120,70
2016-08-31,Fatick,Dengue,13,30.7,77,78.8,oui,577,Aedes,900000,45,65
2016-08-31,Fatick,Paludisme,46,30.7,77,78.8,oui,577,Anopheles,900000,45,65
2016-08-31,Kaffrine,Dengue,9,28.6,76,99.2,partiel,384,Aedes,700000,50,60
2016-08-31,Kaffrine,Paludisme,33,28.6,76,99.2,partiel,384,Anopheles,700000,50,60
2016-08-31,Kaolack,Dengue,16,29.7,79,52.7,oui,534,Aedes,1200000,150,68
2016-08-31,Kaolack,Paludisme,47,29.7,79,52.7,oui,534,Anopheles,1200000,150,68
2016-08-31,Kedougou,Dengue,4,30.3,78,67.7,oui,536,Aedes,200000,12,55
2016-08-31,Kedougou,Paludisme,11,30.3,78,67.7,oui,536,Anopheles,200000,12,55
2016-08-31,Kolda,Dengue,17,25.1,82,114.9,oui,547,Aedes,800000,60,58
2016-08-31,Kolda,Paludisme,49,25.1,82,114.9,oui,547,Anopheles,800000,60,58
2016-08-31,Louga,Dengue,14,25.1,82,58.9,partiel,396,Aedes,1100000,40,67
2016-08-31,Louga,Paludisme,45,25.1,82,58.9,partiel,396,Anopheles,1100000,40,67
2016-08-31,Matam,Dengue,8,30.0,72,45.4,non,375,Aedes,600000,20,50
2016-08-31,Matam,Paludisme,22,30.0,72,45.4,non,375,Anopheles,600000,20,50
2016-08-31,Saint-Louis,Dengue,15,25.3,80,78.2,partiel,307,Aedes,1000000,80,72
2016-08-31,Saint-Louis,Paludisme,42,25.3,80,78.2,partiel,307,Anopheles,1000000,80,72
2016-08-31,Sedhiou,Dengue,8,27.2,86,90.9,oui,509,Aedes,500000,35,53
2016-08-31,Sedhiou,Paludisme,19,27.2,86,90.9,oui,509,Anopheles,500000,35,53
2016-08-31,Tambacounda,Dengue,12,31.2,68,42.0,partiel,316,Aedes,800000,25,52
2016-08-31,Tambacounda,Paludisme,27,31.2,68,42.0,partiel,316,Anopheles,800000,25,52
2016-08-31,Thies,Dengue,28,26.8,82,51.0,partiel,310,Aedes,2000000,200,75
2016-08-31,Thies,Paludisme,83,26.8,82,51.0,partiel,310,Anopheles,2000000,200,75
2016-08-31,Ziguinchor,Dengue,13,24.8,82,130.6,oui,617,Aedes,600000,90,70
2016-08-31,Ziguinchor,Paludisme,35,24.8,82,130.6,oui,617,Anopheles,600000,90,70
2016-09-30,Dakar,Dengue,65,27.8,84,30.9,oui,761,Aedes,3500000,6025,85
2016-09-30,Dakar,Paludisme,215,27.8,84,30.9,oui,761,Anopheles,3500000,6025,85
2016-09-30,Diourbel,Dengue,37,28.4,84,90.9,partiel,553,Aedes,1800000,120,70
2016-09-30,Diourbel,Paludisme,129,28.4,84,90.9,partiel,553,Anopheles,1800000,120,70
2016-09-30,Fatick,Dengue,21,30.0,79,77.6,oui,929,Aedes,900000,45,65
2016-09-30,Fatick,Paludisme,68,30.0,79,77.6,oui,929,Anopheles,900000,45,65
2016-09-30,Kaffrine,Dengue,15,31.9,80,94.7,partiel,690,Aedes,700000,50,60
2016-09-30,Kaffrine,Paludisme,45,31.9,80,94.7,partiel,690,Anopheles,700000,50,60
2016-09-30,Kaolack,Dengue,36,30.1,78,57.0,oui,1121,Aedes,1200000,150,68
2016-09-30,Kaolack,Paludisme,69,30.1,78,57.0,oui,1121,Anopheles,1200000,150,68
2016-09-30,Kedougou,Dengue,6,26.1,78,49.4,oui,997,Aedes,200000,12,55
2016-09-30,Kedougou,Paludisme,23,26.1,78,49.4,oui,997,Anopheles,200000,12,55
2016-09-30,Kolda,Dengue,33,25.7,80,89.6,oui,1152,Aedes,800000,60,58
2016-09-30,Kolda,Paludisme,87,25.7,80,89.6,oui,1152,Anopheles,800000,60,58
2016-09-30,Louga,Dengue,24,26.4,84,70.9,partiel,565,Aedes,1100000,40,67
2016-09-30,Louga,Paludisme,69,26.4,84,70.9,partiel,565,Anopheles,1100000,40,67
2016-09-30,Matam,Dengue,13,26.7,72,59.6,non,567,Aedes,600000,20,50
2016-09-30,Matam,Paludisme,46,26.7,72,59.6,non,567,Anopheles,600000,20,50
2016-09-30,Saint-Louis,Dengue,25,29.5,80,83.2,partiel,731,Aedes,1000000,80,72
2016-09-30,Saint-Louis,Paludisme,53,29.5,80,83.2,partiel,731,Anopheles,1000000,80,72
2016-09-30,Sedhiou,Dengue,12,28.8,81,114.7,oui,1006,Aedes,500000,35,53
2016-09-30,Sedhiou,Paludisme,26,28.8,81,114.7,oui,1006,Anopheles,500000,35,53
2016-09-30,Tambacounda,Dengue,18,31.8,70,95.1,partiel,580,Aedes,800000,25,52
2016-09-30,Tambacounda,Paludisme,69,31.8,70,95.1,partiel,580,Anopheles,800000,25,52
2016-09-30,Thies,Dengue,54,27.2,81,68.0,partiel,477,Aedes,2000000,200,75
2016-09-30,Thies,Paludisme,175,27.2,81,68.0,partiel,477,Anopheles,2000000,200,75
2016-09-30,Ziguinchor,Dengue,24,25.5,85,141.1,oui,1071,Aedes,600000,90,70
2016-09-30,Ziguinchor,Paludisme,71,25.5,85,141.1,oui,1071,Anopheles,600000,90,70
2016-10-31,Dakar,Dengue,93,27.5,80,45.5,oui,1194,Aedes,3500000,6025,85
2016-10-31,Dakar,Paludisme,302,27.5,80,45.5,oui,1194,Anopheles,3500000,6025,85
2016-10-31,Diourbel,Dengue,46,26.4,81,95.8,partiel,460,Aedes,1800000,120,70
2016-10-31,Diourbel,Paludisme,172,26.4,81,95.8,partiel,460,Anopheles,1800000,120,70
2016-10-31,Fatick,Dengue,21,32.6,80,93.1,oui,1125,Aedes,900000,45,65
2016-10-31,Fatick,Paludisme,51,32.6,80,93.1,oui,1125,Anopheles,900000,45,65
2016-10-31,Kaffrine,Dengue,16,26.8,76,53.8,partiel,659,Aedes,700000,50,60
2016-10-31,Kaffrine,Paludisme,38,26.8,76,53.8,partiel,659,Anopheles,700000,50,60
2016-10-31,Kaolack,Dengue,35,29.3,83,65.9,oui,1020,Aedes,1200000,150,68
2016-10-31,Kaolack,Paludisme,68,29.3,83,65.9,oui,1020,Anopheles,1200000,150,68
2016-10-31,Kedougou,Dengue,9,33.0,60,110.0,oui,974,Aedes,200000,12,55
2016-10-31,Kedougou,Paludisme,24,33.0,60,110.0,oui,974,Anopheles,200000,12,55
2016-10-31,Kolda,Dengue,35,30.1,84,113.6,oui,1021,Aedes,800000,60,58
2016-10-31,Kolda,Paludisme,90,30.1,84,113.6,oui,1021,Anopheles,800000,60,58
2016-10-31,Louga,Dengue,23,28.4,82,61.9,partiel,483,Aedes,1100000,40,67
2016-10-31,Louga,Paludisme,67,28.4,82,61.9,partiel,483,Anopheles,1100000,40,67
2016-10-31,Matam,Dengue,14,26.3,60,119.0,non,578,Aedes,600000,20,50
2016-10-31,Matam,Paludisme,40,26.3,60,119.0,non,578,Anopheles,600000,20,50
2016-10-31,Saint-Louis,Dengue,29,31.3,76,70.9,partiel,714,Aedes,1000000,80,72
2016-10-31,Saint-Louis,Paludisme,71,31.3,76,70.9,partiel,714,Anopheles,1000000,80,72
2016-10-31,Sedhiou,Dengue,13,31.9,82,146.0,oui,1032,Aedes,500000,35,53
2016-10-31,Sedhiou,Paludisme,29,31.9,82,146.0,oui,1032,Anopheles,500000,35,53
2016-10-31,Tambacounda,Dengue,16,27.8,64,102.4,partiel,555,Aedes,800000,25,52
2016-10-31,Tambacounda,Paludisme,75,27.8,64,102.4,partiel,555,Anopheles,800000,25,52
2016-10-31,Thies,Dengue,49,33.0,77,69.8,partiel,677,Aedes,2000000,200,75
2016-10-31,Thies,Paludisme,158,33.0,77,69.8,partiel,677,Anopheles,2000000,200,75
2016-10-31,Ziguinchor,Dengue,17,25.8,85,121.5,oui,998,Aedes,600000,90,70
2016-10-31,Ziguinchor,Paludisme,49,25.8,85,121.5,oui,998,Anopheles,600000,90,70
2016-11-30,Dakar,Dengue,91,29.3,75,8.8,oui,1109,Aedes,3500000,6025,85
2016-11-30,Dakar,Paludisme,196,29.3,75,8.8,oui,1109,Anopheles,3500000,6025,85
2016-11-30,Diourbel,Dengue,32,29.4,64,11.4,partiel,599,Aedes,1800000,120,70
